Question Concept_id,Type (Question/Answer),emr_concept_id,Mapped CIEL Concept (in KenyaEMR),amrs_concept_id,AMRS CIEL Mapping,,,,,,,,,,,,,,,,,,,,
1646,PNC Register Number,1646,1646,10941,1646,,,,,,,,,,,,,,,,,,,,
159893,PNC Visit Number,159893,159893,10942,159893,,,,,,,,,,,,,,,,,,,,
,Maternity history ,,,,,,,,,,,,,,,,,,,,,,,,
5599,Date of delivery,5599,5599,5599,5599,,,,,,,,,,,,,,,,,,,,
5630,Mode of Delivery,5630,5630,5630,5630,,,,,,,,,,,,,,,,,,,,
5630,Spontaneous vaginal delivery(SVD),1170,1170,1170,1170,,,,,,,,,,,,,,,,,,,,
5630,Cesarean section(CS),1171,1171,1171,1171,,,,,,,,,,,,,,,,,,,,
5630,Breech delivery,1172,1172,1172,1172,,,,,,,,,,,,,,,,,,,,
5630,Assisted vaginal delivery(AVD),118159,2167,118159,2167,,,,,,,,,,,,,,,,,,,,
1572,Place of delivery,1572,1572,2368,1572,,,,,,,,,,,,,,,,,,,,
1572,Home,1536,1536,1567,1536,,,,,,,,,,,,,,,,,,,,
1572,Facility,1589,1589,6181,1589,,,,,,,,,,,,,,,,,,,,
1572,Born Before Arrival,1601,1601,6435,1601,,,,,,,,,,,,,,,,,,,,
,Vitals,,,,,,,,,,,,,,,,,,,,,,,,
5088,Temperature,5088,5088,5088,5088,,,,,,,,,,,,,,,,,,,,
5087,Pulse Rate,5087,5087,5087,5087,,,,,,,,,,,,,,,,,,,,
5085,B.P.,5085,5085,5085,5085,,,,,,,,,,,,,,,,,,,,
5086,B.P.,5086,5086,5086,5086,,,,,,,,,,,,,,,,,,,,
5242,Respiratory Rate,5242,5242,5242,5242,,,,,,,,,,,,,,,,,,,,
5092,Oxygen Saturation,5092,5092,5092,5092,,,,,,,,,,,,,,,,,,,,
1343,MUAC,1343,1343,1343,1343,,,,,,,,,,,,,,,,,,,,
5090,Height (cm),5090,5090,5090,5090,,,,,,,,,,,,,,,,,,,,
5089,Weight: (kg),5089,5089,5089,5089,,,,,,,,,,,,,,,,,,,,
Calculated ,BMI,,,,,Need clarification,,,,,,,,,,,,,,,,,,,
,Postnatal Observations,,,,,,,,,,,,,,,,,,,,,,,,
1856,General Condition,1856,1856,10930,1856,,,,,,,,,,,,,,,,,,,,
1856,Good,1855,1855,9070,1855,,,,,,,,,,,,,,,,,,,,
1856,Fair ,162133,162133,10943,162133,,,,,,,,,,,,,,,,,,,,
1856,Poor,162132,162132,10944,162132,,,,,,,,,,,,,,,,,,,,
5245,Pallor,5245,5245,5245,5245,,,,,,,,,,,,,,,,,,,,
5245,Yes,1065,1065,1065,1065,,,,,,,,,,,,,,,,,,,,
5245,No,1066,1066,1066,1066,,,,,,,,,,,,,,,,,,,,
5245,N/A,1175,1175,1175,1175,,,,,,,,,,,,,,,,,,,,
159780,Breast,159780,159780,6251,159780,,,,,,,,,,,,,,,,,,,,
159780,Normal,1115,1115,1115,1115,,,,,,,,,,,,,,,,,,,,
159780,Cracked nipple,143242,143242,6249,143242,,,,,,,,,,,,,,,,,,,,
159780,Engorged nipple,127522,127522,10945,127522,,,,,,,,,,,,,,,,,,,,
